"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 01 07:39:22 UTC 2022","Thu Sep 01 07:39:22 UTC 2022","0","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid credentials","login from home page with valid credentials",""
"passed","Thu Sep 01 07:39:35 UTC 2022","Thu Sep 01 07:39:37 UTC 2022","1785","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid email","login with invalid email",""
"passed","Thu Sep 01 07:39:22 UTC 2022","Thu Sep 01 07:39:26 UTC 2022","4032","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid credentials","login from home page with invalid credentials",""
"skipped","Thu Sep 01 07:39:28 UTC 2022","Thu Sep 01 07:39:28 UTC 2022","0","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid email and invalid passwd","login from home page with valid email and invalid passwd",""
"passed","Thu Sep 01 07:39:27 UTC 2022","Thu Sep 01 07:39:28 UTC 2022","1159","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid passwd","login from home page with invalid passwd",""
"passed","Thu Sep 01 07:39:28 UTC 2022","Thu Sep 01 07:39:29 UTC 2022","1123","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with empty data","login from home page with empty data",""
"passed","Thu Sep 01 07:39:37 UTC 2022","Thu Sep 01 07:39:38 UTC 2022","1653","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid passwd","login with invalid passwd",""
"skipped","Thu Sep 01 07:39:31 UTC 2022","Thu Sep 01 07:39:31 UTC 2022","0","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with valid credentials","login with valid credentials",""
"skipped","Thu Sep 01 07:39:38 UTC 2022","Thu Sep 01 07:39:38 UTC 2022","0","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with valid email and invalid passwd","login with valid email and invalid passwd",""
"passed","Thu Sep 01 07:39:31 UTC 2022","Thu Sep 01 07:39:35 UTC 2022","4478","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid credentials","login with invalid credentials",""
"passed","Thu Sep 01 07:39:26 UTC 2022","Thu Sep 01 07:39:27 UTC 2022","1032","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid email","login from home page with invalid email",""
"passed","Thu Sep 01 07:39:38 UTC 2022","Thu Sep 01 07:39:40 UTC 2022","1760","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with empty data","login with empty data",""
"skipped","Thu Sep 01 07:39:41 UTC 2022","Thu Sep 01 07:39:41 UTC 2022","1","","[FNN-568] Filter Functionality","","[FNN-568] Filter Functionality","should check if filters by category","should check if filters by category",""
