"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 01 07:39:59 UTC 2022","Thu Sep 01 07:39:59 UTC 2022","0","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with valid credentials","login with valid credentials",""
"passed","Thu Sep 01 07:39:52 UTC 2022","Thu Sep 01 07:39:53 UTC 2022","1444","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid email","login from home page with invalid email",""
"passed","Thu Sep 01 07:39:53 UTC 2022","Thu Sep 01 07:39:55 UTC 2022","1683","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid passwd","login from home page with invalid passwd",""
"skipped","Thu Sep 01 07:39:55 UTC 2022","Thu Sep 01 07:39:55 UTC 2022","0","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid email and invalid passwd","login from home page with valid email and invalid passwd",""
"passed","Thu Sep 01 07:39:46 UTC 2022","Thu Sep 01 07:39:52 UTC 2022","6199","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid credentials","login from home page with invalid credentials",""
"skipped","Thu Sep 01 07:40:08 UTC 2022","Thu Sep 01 07:40:08 UTC 2022","0","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with valid email and invalid passwd","login with valid email and invalid passwd",""
"skipped","Thu Sep 01 07:40:11 UTC 2022","Thu Sep 01 07:40:11 UTC 2022","0","","[FNN-568] Filter Functionality","","[FNN-568] Filter Functionality","should check if filters by category","should check if filters by category",""
"passed","Thu Sep 01 07:40:04 UTC 2022","Thu Sep 01 07:40:06 UTC 2022","2224","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid email","login with invalid email",""
"passed","Thu Sep 01 07:39:55 UTC 2022","Thu Sep 01 07:39:57 UTC 2022","1651","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with empty data","login from home page with empty data",""
"passed","Thu Sep 01 07:39:59 UTC 2022","Thu Sep 01 07:40:04 UTC 2022","5277","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid credentials","login with invalid credentials",""
"skipped","Thu Sep 01 07:39:46 UTC 2022","Thu Sep 01 07:39:46 UTC 2022","0","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid credentials","login from home page with valid credentials",""
"passed","Thu Sep 01 07:40:08 UTC 2022","Thu Sep 01 07:40:10 UTC 2022","1797","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with empty data","login with empty data",""
"passed","Thu Sep 01 07:40:06 UTC 2022","Thu Sep 01 07:40:08 UTC 2022","1688","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid passwd","login with invalid passwd",""
