"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 08:23:29 UTC 2022","Wed Sep 21 08:23:37 UTC 2022","8010","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without email","invite manually via email without email",""
"passed","Wed Sep 21 08:23:42 UTC 2022","Wed Sep 21 08:23:44 UTC 2022","1461","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without first name","invite manually via email without first name",""
"passed","Wed Sep 21 08:21:39 UTC 2022","Wed Sep 21 08:21:45 UTC 2022","5879","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with short passwd","subscribe with short passwd",""
"passed","Wed Sep 21 08:22:58 UTC 2022","Wed Sep 21 08:23:01 UTC 2022","3409","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with short account password and repet password","post project with short account password and repet password",""
"passed","Wed Sep 21 08:22:14 UTC 2022","Wed Sep 21 08:22:19 UTC 2022","4837","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with valid email and invalid passwd (email should be changed)","login with valid email and invalid passwd (email should be changed)",""
"passed","Wed Sep 21 08:22:34 UTC 2022","Wed Sep 21 08:22:38 UTC 2022","3543","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account last name","post project without account last name",""
"passed","Wed Sep 21 08:22:19 UTC 2022","Wed Sep 21 08:22:21 UTC 2022","2136","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid credentials","login with invalid credentials",""
"passed","Wed Sep 21 08:22:26 UTC 2022","Wed Sep 21 08:22:31 UTC 2022","4997","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with empty account data","post project with empty account data",""
"passed","Wed Sep 21 08:21:33 UTC 2022","Wed Sep 21 08:21:39 UTC 2022","5817","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with wrong phone number","subscribe with wrong phone number",""
"passed","Wed Sep 21 08:23:37 UTC 2022","Wed Sep 21 08:23:38 UTC 2022","1611","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email with wrong email format","invite manually via email with wrong email format",""
"passed","Wed Sep 21 08:23:48 UTC 2022","Wed Sep 21 08:23:51 UTC 2022","3290","","[FNN-558] Forgot password Functionality","","[FNN-558] Forgot password Functionality","forgot passwd with empty data","forgot passwd with empty data",""
"passed","Wed Sep 21 08:22:23 UTC 2022","Wed Sep 21 08:22:24 UTC 2022","731","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with empty data","login with empty data",""
"passed","Wed Sep 21 08:21:04 UTC 2022","Wed Sep 21 08:21:11 UTC 2022","6800","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without sector","subscribe without sector",""
"passed","Wed Sep 21 08:23:51 UTC 2022","Wed Sep 21 08:23:52 UTC 2022","1031","","[FNN-558] Forgot password Functionality","","[FNN-558] Forgot password Functionality","forgot passwd with wrong email","forgot passwd with wrong email",""
"passed","Wed Sep 21 08:22:06 UTC 2022","Wed Sep 21 08:22:09 UTC 2022","2923","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid credentials","login from home page with invalid credentials",""
"failed","Wed Sep 21 08:23:06 UTC 2022","Wed Sep 21 08:23:25 UTC 2022","18905","","[FNN-568] Filter Functionality","","[FNN-568] Filter Functionality","should Verify that filters by category","should Verify that filters by category",""
"passed","Wed Sep 21 08:22:12 UTC 2022","Wed Sep 21 08:22:13 UTC 2022","1048","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with empty data","login from home page with empty data",""
"passed","Wed Sep 21 08:22:41 UTC 2022","Wed Sep 21 08:22:44 UTC 2022","3243","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account phone number","post project without account phone number",""
"passed","Wed Sep 21 08:22:51 UTC 2022","Wed Sep 21 08:22:54 UTC 2022","3334","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with wrong account email","post project with wrong account email",""
"passed","Wed Sep 21 08:23:44 UTC 2022","Wed Sep 21 08:23:45 UTC 2022","1427","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without last name","invite manually via email without last name",""
"passed","Wed Sep 21 08:23:45 UTC 2022","Wed Sep 21 08:23:46 UTC 2022","1000","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email empty data","invite manually via email empty data",""
"passed","Wed Sep 21 08:22:48 UTC 2022","Wed Sep 21 08:22:51 UTC 2022","3346","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account repeated password","post project without account repeated password",""
"passed","Wed Sep 21 08:23:40 UTC 2022","Wed Sep 21 08:23:42 UTC 2022","1887","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via sms with invalid phone number","invite manually via sms with invalid phone number",""
"passed","Wed Sep 21 08:23:38 UTC 2022","Wed Sep 21 08:23:40 UTC 2022","1790","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via sms without phone number","invite manually via sms without phone number",""
"passed","Wed Sep 21 08:22:38 UTC 2022","Wed Sep 21 08:22:41 UTC 2022","3391","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account email","post project without account email",""
"passed","Wed Sep 21 08:22:00 UTC 2022","Wed Sep 21 08:22:06 UTC 2022","6048","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid email and invalid passwd","login from home page with valid email and invalid passwd",""
"passed","Wed Sep 21 08:21:57 UTC 2022","Wed Sep 21 08:21:59 UTC 2022","1714","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with empty data","subscribe with empty data",""
"passed","Wed Sep 21 08:22:54 UTC 2022","Wed Sep 21 08:22:58 UTC 2022","3402","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with wrong account phone number","post project with wrong account phone number",""
"passed","Wed Sep 21 08:21:16 UTC 2022","Wed Sep 21 08:21:22 UTC 2022","5871","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without first name","subscribe without first name",""
"passed","Wed Sep 21 08:21:11 UTC 2022","Wed Sep 21 08:21:16 UTC 2022","5430","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without company name","subscribe without company name",""
"broken","Wed Sep 21 08:21:22 UTC 2022","Wed Sep 21 08:21:28 UTC 2022","5689","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without last name","subscribe without last name",""
"passed","Wed Sep 21 08:22:21 UTC 2022","Wed Sep 21 08:22:22 UTC 2022","938","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with wrong email format","login with wrong email format",""
"passed","Wed Sep 21 08:22:10 UTC 2022","Wed Sep 21 08:22:12 UTC 2022","1184","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page without passwd","login from home page without passwd",""
"passed","Wed Sep 21 08:21:28 UTC 2022","Wed Sep 21 08:21:33 UTC 2022","5441","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with wrong email format","subscribe with wrong email format",""
"passed","Wed Sep 21 08:22:09 UTC 2022","Wed Sep 21 08:22:10 UTC 2022","1286","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with wrong email format","login from home page with wrong email format",""
"passed","Wed Sep 21 08:21:51 UTC 2022","Wed Sep 21 08:21:57 UTC 2022","5816","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without agreeing to the Terms and Conditions","subscribe without agreeing to the Terms and Conditions",""
"passed","Wed Sep 21 08:21:45 UTC 2022","Wed Sep 21 08:21:51 UTC 2022","5928","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with invalid repeat passwd","subscribe with invalid repeat passwd",""
"passed","Wed Sep 21 08:23:01 UTC 2022","Wed Sep 21 08:23:05 UTC 2022","3503","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account passwords matching","post project without account passwords matching",""
"passed","Wed Sep 21 08:22:31 UTC 2022","Wed Sep 21 08:22:34 UTC 2022","3436","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account first name","post project without account first name",""
"passed","Wed Sep 21 08:22:22 UTC 2022","Wed Sep 21 08:22:23 UTC 2022","783","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login without passwd","login without passwd",""
"passed","Wed Sep 21 08:22:44 UTC 2022","Wed Sep 21 08:22:48 UTC 2022","3504","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account password","post project without account password",""
