"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 08:17:33 UTC 2022","Fri Sep 30 08:17:38 UTC 2022","4293","","[FNN-568] Search projects  Functionality","","[FNN-568] Search projects  Functionality","should filter out the projects by Category","should filter out the projects by Category",""
"passed","Fri Sep 30 08:17:38 UTC 2022","Fri Sep 30 08:17:40 UTC 2022","2056","","[FNN-568] Search projects  Functionality","","[FNN-568] Search projects  Functionality","should filter out the projects by Fixed price","should filter out the projects by Fixed price",""
"passed","Fri Sep 30 08:18:25 UTC 2022","Fri Sep 30 08:18:27 UTC 2022","1577","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without first name","invite manually via email without first name",""
"passed","Fri Sep 30 08:16:57 UTC 2022","Fri Sep 30 08:17:01 UTC 2022","3752","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account first name","post project without account first name",""
"passed","Fri Sep 30 08:18:31 UTC 2022","Fri Sep 30 08:18:35 UTC 2022","3798","","[FNN-558] Forgot password Functionality","","[FNN-558] Forgot password Functionality","forgot passwd with empty data","forgot passwd with empty data",""
"passed","Fri Sep 30 08:17:18 UTC 2022","Fri Sep 30 08:17:21 UTC 2022","3425","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with wrong account email","post project with wrong account email",""
"passed","Fri Sep 30 08:16:13 UTC 2022","Fri Sep 30 08:16:19 UTC 2022","5668","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with invalid repeat passwd","subscribe with invalid repeat passwd",""
"passed","Fri Sep 30 08:17:24 UTC 2022","Fri Sep 30 08:17:27 UTC 2022","3437","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project with short account password and repet password","post project with short account password and repet password",""
"passed","Fri Sep 30 08:18:23 UTC 2022","Fri Sep 30 08:18:25 UTC 2022","2438","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via sms with invalid phone number","invite manually via sms with invalid phone number",""
"passed","Fri Sep 30 08:16:48 UTC 2022","Fri Sep 30 08:16:49 UTC 2022","984","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with wrong email format","login with wrong email format",""
"passed","Fri Sep 30 08:16:50 UTC 2022","Fri Sep 30 08:16:51 UTC 2022","833","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with empty data","login with empty data",""
"passed","Fri Sep 30 08:17:08 UTC 2022","Fri Sep 30 08:17:11 UTC 2022","3104","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account phone number","post project without account phone number",""
"passed","Fri Sep 30 08:15:44 UTC 2022","Fri Sep 30 08:15:50 UTC 2022","6132","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without first name","subscribe without first name",""
"passed","Fri Sep 30 08:18:12 UTC 2022","Fri Sep 30 08:18:19 UTC 2022","7458","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without email","invite manually via email without email",""
"passed","Fri Sep 30 08:18:19 UTC 2022","Fri Sep 30 08:18:21 UTC 2022","1597","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email with wrong email format","invite manually via email with wrong email format",""
"passed","Fri Sep 30 08:17:11 UTC 2022","Fri Sep 30 08:17:15 UTC 2022","3449","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account password","post project without account password",""
"passed","Fri Sep 30 08:16:29 UTC 2022","Fri Sep 30 08:16:34 UTC 2022","5383","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with valid email and invalid passwd","login from home page with valid email and invalid passwd",""
"passed","Fri Sep 30 08:17:15 UTC 2022","Fri Sep 30 08:17:18 UTC 2022","2775","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account repeated password","post project without account repeated password",""
"passed","Fri Sep 30 08:18:27 UTC 2022","Fri Sep 30 08:18:28 UTC 2022","1553","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via email without last name","invite manually via email without last name",""
"passed","Fri Sep 30 08:15:56 UTC 2022","Fri Sep 30 08:16:01 UTC 2022","5638","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe with wrong email format","subscribe with wrong email format",""
"skipped","Fri Sep 30 08:18:10 UTC 2022","Fri Sep 30 08:18:10 UTC 2022","1","","[FNN-619] Send manually an invitation with valid recipient data","","[FNN-619] Send manually an invitation with valid recipient data","invite manually via sms with valid recipient data","invite manually via sms with valid recipient data",""
"passed","Fri Sep 30 08:18:21 UTC 2022","Fri Sep 30 08:18:23 UTC 2022","1892","","[FNN-620] Send an invitation with invalid recipient data","","[FNN-620] Send an invitation with invalid recipient data","invite manually via sms without phone number","invite manually via sms without phone number",""
"passed","Fri Sep 30 08:16:34 UTC 2022","Fri Sep 30 08:16:36 UTC 2022","1838","","[FNN-563] LogIn from home page Functionality","","[FNN-563] LogIn from home page Functionality","login from home page with invalid credentials","login from home page with invalid credentials",""
"passed","Fri Sep 30 08:16:46 UTC 2022","Fri Sep 30 08:16:48 UTC 2022","1765","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login with invalid credentials","login with invalid credentials",""
"passed","Fri Sep 30 08:15:50 UTC 2022","Fri Sep 30 08:15:56 UTC 2022","5520","","[FNN-577] Subscribe Functionality","","[FNN-577] Subscribe Functionality","subscribe without last name","subscribe without last name",""
"passed","Fri Sep 30 08:17:05 UTC 2022","Fri Sep 30 08:17:08 UTC 2022","3187","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account email","post project without account email",""
"passed","Fri Sep 30 08:16:49 UTC 2022","Fri Sep 30 08:16:50 UTC 2022","969","","[FNN-574] Login Functionality","","[FNN-574] Login Functionality","login without passwd","login without passwd",""
"passed","Fri Sep 30 08:17:01 UTC 2022","Fri Sep 30 08:17:05 UTC 2022","3917","","[FNN-588] Project posting without account Functionality","","[FNN-588] Project posting without account Functionality","post project without account last name","post project without account last name",""
