"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 05:03:47 UTC 2024","Thu Mar 07 05:03:55 UTC 2024","7726","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without first name","should pass step 2 without first name",""
"passed","Thu Mar 07 04:12:37 UTC 2024","Thu Mar 07 04:12:52 UTC 2024","14585","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with wrong phone number","should subscribe with wrong phone number",""
"passed","Thu Mar 07 04:14:18 UTC 2024","Thu Mar 07 04:14:50 UTC 2024","32413","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Generic decline","should upgrade account to Standard 1 month: Generic decline",""
"passed","Thu Mar 07 04:28:24 UTC 2024","Thu Mar 07 04:30:01 UTC 2024","96517","","Settings: [FNN-674] Change password Positive","","Settings: [FNN-674] Change password Positive","should change password with valid credentials","should change password with valid credentials",""
"passed","Thu Mar 07 04:36:15 UTC 2024","Thu Mar 07 04:36:25 UTC 2024","10946","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Posted since Last 30 days","should filter projects by Posted since Last 30 days",""
"passed","Thu Mar 07 05:03:55 UTC 2024","Thu Mar 07 05:04:03 UTC 2024","7915","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without last name","should pass step 2 without last name",""
"passed","Thu Mar 07 04:14:50 UTC 2024","Thu Mar 07 04:15:25 UTC 2024","35058","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Insufficient funds decline","should upgrade account to Standard 1 month: Insufficient funds decline",""
"passed","Thu Mar 07 04:34:23 UTC 2024","Thu Mar 07 04:34:35 UTC 2024","12397","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Search terms","should filter projects by Search terms",""
"passed","Thu Mar 07 05:06:34 UTC 2024","Thu Mar 07 05:07:47 UTC 2024","72841","","My Network: [FNN-619] Invite manually via sms with signup bonus","","My Network: [FNN-619] Invite manually via sms with signup bonus","should subscribe as the freelancer with recipient details and accept the invitation","should subscribe as the freelancer with recipient details and accept the invitation",""
"passed","Thu Mar 07 05:04:42 UTC 2024","Thu Mar 07 05:04:46 UTC 2024","4677","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add language without speaking level","should add language without speaking level",""
"passed","Thu Mar 07 05:05:17 UTC 2024","Thu Mar 07 05:05:28 UTC 2024","11017","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without 3 rating","should pass step 3 without 3 rating",""
"failed","Thu Mar 07 05:03:48 UTC 2024","Thu Mar 07 05:05:59 UTC 2024","130111","","My Profile: [FNN-669] Edit account details Positive","","My Profile: [FNN-669] Edit account details Positive","should edit cr account details with valid information","should edit cr account details with valid information",""
"broken","Thu Mar 07 05:13:05 UTC 2024","Thu Mar 07 05:14:40 UTC 2024","94720","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","""before all"" hook for [FNN-1431] Hourly project: In retrospect. Positive","""before all"" hook for [FNN-1431] Hourly project: In retrospect. Positive",""
"passed","Thu Mar 07 05:15:32 UTC 2024","Thu Mar 07 05:16:16 UTC 2024","43294","","[FNN-743] Archive and restore message","","[FNN-743] Archive and restore message","should restore the message","should restore the message",""
"passed","Thu Mar 07 04:25:41 UTC 2024","Thu Mar 07 04:25:53 UTC 2024","11634","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Title","should post project without Title",""
"passed","Thu Mar 07 04:42:38 UTC 2024","Thu Mar 07 04:47:13 UTC 2024","275193","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should invite to a project via the ""Invite to project"" action","should invite to a project via the ""Invite to project"" action",""
"passed","Thu Mar 07 04:29:30 UTC 2024","Thu Mar 07 04:29:54 UTC 2024","23675","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with invalid repeat new password","should change password with invalid repeat new password",""
"passed","Thu Mar 07 04:58:23 UTC 2024","Thu Mar 07 04:59:40 UTC 2024","77200","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details without required fields","should edit account details without required fields",""
"passed","Thu Mar 07 04:57:59 UTC 2024","Thu Mar 07 04:58:16 UTC 2024","17300","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with taken phone number","should subscribe as CR with taken phone number",""
"passed","Thu Mar 07 04:35:41 UTC 2024","Thu Mar 07 04:35:46 UTC 2024","5304","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Status All projects","should filter projects by Status All projects",""
