"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 04:31:53 UTC 2023","Sun Sep 24 04:32:03 UTC 2023","10127","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without email","should subscribe as CR without email",""
"failed","Sun Sep 24 04:48:14 UTC 2023","Sun Sep 24 04:49:07 UTC 2023","52570","","CR: [FNN-750] Invite to the organization through search","","CR: [FNN-750] Invite to the organization through search","should check organization page as the inviting user","should check organization page as the inviting user",""
"passed","Sun Sep 24 04:10:10 UTC 2023","Sun Sep 24 04:10:18 UTC 2023","7975","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without agreeing to the Terms and Conditions","should subscribe without agreeing to the Terms and Conditions",""
"passed","Sun Sep 24 04:16:19 UTC 2023","Sun Sep 24 04:17:21 UTC 2023","62583","","Post Project: [FNN-650] Post project without account Positive","","Post Project: [FNN-650] Post project without account Positive","should post a project as an unregistered user with valid project data","should post a project as an unregistered user with valid project data",""
"passed","Sun Sep 24 04:11:19 UTC 2023","Sun Sep 24 04:11:34 UTC 2023","14822","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Education","should add Education",""
"passed","Sun Sep 24 04:42:13 UTC 2023","Sun Sep 24 04:43:35 UTC 2023","81519","","My Projects: [FNN-1093] Pause project","","My Projects: [FNN-1093] Pause project","should pause the project","should pause the project",""
"passed","Sun Sep 24 04:16:33 UTC 2023","Sun Sep 24 04:16:38 UTC 2023","5012","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Category","should post project without Category",""
"passed","Sun Sep 24 04:13:07 UTC 2023","Sun Sep 24 04:14:34 UTC 2023","86340","","My Profile: [FNN-669] Edit account details Positive","","My Profile: [FNN-669] Edit account details Positive","should edit cr account details with valid information","should edit cr account details with valid information",""
"passed","Sun Sep 24 04:14:31 UTC 2023","Sun Sep 24 04:15:47 UTC 2023","76042","","My Profile: [FNN-795] Remove portfolio","","My Profile: [FNN-795] Remove portfolio","should remove portfolio","should remove portfolio",""
"passed","Sun Sep 24 04:16:19 UTC 2023","Sun Sep 24 04:16:25 UTC 2023","5529","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Title","should post project without Title",""
"passed","Sun Sep 24 04:33:39 UTC 2023","Sun Sep 24 04:33:48 UTC 2023","8817","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without agreeing to the Terms and Conditions","should subscribe as CR without agreeing to the Terms and Conditions",""
"passed","Sun Sep 24 04:07:58 UTC 2023","Sun Sep 24 04:09:22 UTC 2023","84082","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Standaard 1 month","should upgrade account to Standaard 1 month",""
"passed","Sun Sep 24 04:13:19 UTC 2023","Sun Sep 24 04:13:35 UTC 2023","15647","","My Profile: [FNN-699] Request reference Positive","","My Profile: [FNN-699] Request reference Positive","should validate reference","should validate reference",""
"passed","Sun Sep 24 04:08:45 UTC 2023","Sun Sep 24 04:08:57 UTC 2023","12097","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with taken email","should subscribe with taken email",""
"passed","Sun Sep 24 04:09:19 UTC 2023","Sun Sep 24 04:10:02 UTC 2023","43148","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month Refuse","should upgrade account to Standard 1 month Refuse",""
"passed","Sun Sep 24 04:27:24 UTC 2023","Sun Sep 24 04:27:43 UTC 2023","18784","","Freelancer search: [FNN-817] Add note","","Freelancer search: [FNN-817] Add note","should add a note via the action ""Add note""","should add a note via the action ""Add note""",""
"failed","Sun Sep 24 04:43:38 UTC 2023","Sun Sep 24 04:48:24 UTC 2023","285774","","My Network: [FNN-1027] Invite freelancers","","My Network: [FNN-1027] Invite freelancers","should invite multiple freelancers","should invite multiple freelancers",""
"passed","Sun Sep 24 04:42:16 UTC 2023","Sun Sep 24 04:42:28 UTC 2023","11991","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with wrong phone number","should post project with wrong phone number",""
"passed","Sun Sep 24 04:09:15 UTC 2023","Sun Sep 24 04:09:30 UTC 2023","14559","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with taken phone number","should subscribe with taken phone number",""
"passed","Sun Sep 24 04:18:22 UTC 2023","Sun Sep 24 04:19:10 UTC 2023","48541","","Settings: [FNN-674] Change password Positive","","Settings: [FNN-674] Change password Positive","should change password with valid credentials","should change password with valid credentials",""
"passed","Sun Sep 24 04:36:51 UTC 2023","Sun Sep 24 04:37:38 UTC 2023","46884","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Minimum references","should filter freelancers by Minimum references",""
"passed","Sun Sep 24 04:12:22 UTC 2023","Sun Sep 24 04:13:43 UTC 2023","80883","","My Profile: [FNN-713] Confirm phone number Negative","","My Profile: [FNN-713] Confirm phone number Negative","should confirm phone number with invalid code","should confirm phone number with invalid code",""
"passed","Sun Sep 24 04:10:56 UTC 2023","Sun Sep 24 04:12:10 UTC 2023","74153","","My Profile: [FNN-698] Confirm phone number Positive","","My Profile: [FNN-698] Confirm phone number Positive","should confirm phone number with valid code","should confirm phone number with valid code",""
"passed","Sun Sep 24 04:32:03 UTC 2023","Sun Sep 24 04:32:13 UTC 2023","9754","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with wrong email format","should subscribe as CR with wrong email format",""
"passed","Sun Sep 24 04:16:53 UTC 2023","Sun Sep 24 04:17:04 UTC 2023","10896","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Work on location","should post project without Work on location",""
"broken","Sun Sep 24 04:44:25 UTC 2023","Sun Sep 24 04:47:07 UTC 2023","161898","","My Projects: [FNN-971] Complete project Positive","","My Projects: [FNN-971] Complete project Positive","should complete project","should complete project",""
"passed","Sun Sep 24 04:41:34 UTC 2023","Sun Sep 24 04:41:46 UTC 2023","11860","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without phone number","should post project without phone number",""
"passed","Sun Sep 24 04:33:30 UTC 2023","Sun Sep 24 04:33:39 UTC 2023","8890","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with invalid repeat password","should subscribe as CR with invalid repeat password",""
"passed","Sun Sep 24 04:26:19 UTC 2023","Sun Sep 24 04:27:44 UTC 2023","85800","","Freelancer search: [FNN-822] Send message","","Freelancer search: [FNN-822] Send message","should send a message via the ""Send message"" action","should send a message via the ""Send message"" action",""
"passed","Sun Sep 24 04:11:59 UTC 2023","Sun Sep 24 04:13:19 UTC 2023","80096","","My Profile: [FNN-699] Request reference Positive","","My Profile: [FNN-699] Request reference Positive","should add experience and request reference","should add experience and request reference",""
"failed","Sun Sep 24 04:39:40 UTC 2023","Sun Sep 24 04:40:05 UTC 2023","24969","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add education without data","should add education without data",""
"passed","Sun Sep 24 04:47:07 UTC 2023","Sun Sep 24 04:48:22 UTC 2023","74934","","My Projects: [FNN-971] Complete project Positive","","My Projects: [FNN-971] Complete project Positive","should check review as freelancer user","should check review as freelancer user",""
"passed","Sun Sep 24 04:27:01 UTC 2023","Sun Sep 24 04:29:43 UTC 2023","161659","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should invite to a project via the ""Invite to project"" action","should invite to a project via the ""Invite to project"" action",""
"passed","Sun Sep 24 04:44:15 UTC 2023","Sun Sep 24 04:45:50 UTC 2023","94991","","Freelancer search: [FNN-816] Create list Functionality","","Freelancer search: [FNN-816] Create list Functionality","should create a list of freelancers","should create a list of freelancers",""
"passed","Sun Sep 24 04:19:38 UTC 2023","Sun Sep 24 04:20:14 UTC 2023","36139","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with invalid old password","should change password with invalid old password",""
"passed","Sun Sep 24 04:19:26 UTC 2023","Sun Sep 24 04:20:40 UTC 2023","74495","","Settings: [FNN-678] Delete account without subscription","","Settings: [FNN-678] Delete account without subscription","should delete account without subscription","should delete account without subscription",""
"passed","Sun Sep 24 04:42:29 UTC 2023","Sun Sep 24 04:42:44 UTC 2023","15449","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Hourly rate","should filter projects by Hourly rate",""
"broken","Sun Sep 24 04:41:46 UTC 2023","Sun Sep 24 04:42:16 UTC 2023","29780","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with taken phone number","should post project with taken phone number",""
"passed","Sun Sep 24 04:33:59 UTC 2023","Sun Sep 24 04:34:40 UTC 2023","41331","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without email","should invite manually to the organization without email",""
"passed","Sun Sep 24 04:12:46 UTC 2023","Sun Sep 24 04:13:26 UTC 2023","39765","","My Profile: [FNN-718] Add portfolio Negative","","My Profile: [FNN-718] Add portfolio Negative","should add portfolio without data","should add portfolio without data",""
"passed","Sun Sep 24 04:11:01 UTC 2023","Sun Sep 24 04:11:19 UTC 2023","18147","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Experience","should add Experience",""
"passed","Sun Sep 24 04:10:34 UTC 2023","Sun Sep 24 04:12:24 UTC 2023","110652","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Business 1 month","should upgrade account to Business 1 month",""
"passed","Sun Sep 24 04:31:06 UTC 2023","Sun Sep 24 04:31:57 UTC 2023","51302","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Category","should filter freelancers by Category",""
"passed","Sun Sep 24 04:08:35 UTC 2023","Sun Sep 24 04:08:45 UTC 2023","10113","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with wrong email format","should subscribe with wrong email format",""
"passed","Sun Sep 24 04:42:44 UTC 2023","Sun Sep 24 04:42:49 UTC 2023","5155","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Status All projects","should filter projects by Status All projects",""
"passed","Sun Sep 24 04:45:46 UTC 2023","Sun Sep 24 04:45:55 UTC 2023","8178","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without City","should create profile without City",""
"passed","Sun Sep 24 04:31:57 UTC 2023","Sun Sep 24 04:33:05 UTC 2023","68279","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Location","should filter freelancers by Location",""
"passed","Sun Sep 24 04:33:58 UTC 2023","Sun Sep 24 04:34:37 UTC 2023","39021","","CR: [FNN-749] Invite to the organization manually Positive","","CR: [FNN-749] Invite to the organization manually Positive","should check organization page as the inviting user","should check organization page as the inviting user",""
"passed","Sun Sep 24 04:33:01 UTC 2023","Sun Sep 24 04:33:11 UTC 2023","9705","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without password","should subscribe as CR without password",""
"passed","Sun Sep 24 04:18:40 UTC 2023","Sun Sep 24 04:19:06 UTC 2023","26531","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password without new and repeat password","should change password without new and repeat password",""
"passed","Sun Sep 24 04:34:43 UTC 2023","Sun Sep 24 04:34:46 UTC 2023","2564","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without first name","should invite manually to the organization without first name",""
"passed","Sun Sep 24 04:34:46 UTC 2023","Sun Sep 24 04:34:49 UTC 2023","2907","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without last name","should invite manually to the organization without last name",""
"passed","Sun Sep 24 04:33:39 UTC 2023","Sun Sep 24 04:34:39 UTC 2023","60213","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Years of experience","should filter freelancers by Years of experience",""
"passed","Sun Sep 24 04:46:16 UTC 2023","Sun Sep 24 04:46:25 UTC 2023","9005","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without Description of yourself","should create profile without Description of yourself",""
"passed","Sun Sep 24 04:38:23 UTC 2023","Sun Sep 24 04:38:59 UTC 2023","35284","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add CV without CV","should add CV without CV",""
"passed","Sun Sep 24 04:39:21 UTC 2023","Sun Sep 24 04:39:30 UTC 2023","8807","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without period from  ","should add experience without period from  ",""
"passed","Sun Sep 24 04:12:13 UTC 2023","Sun Sep 24 04:12:26 UTC 2023","13353","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Language","should add Language",""
"passed","Sun Sep 24 04:28:47 UTC 2023","Sun Sep 24 04:29:35 UTC 2023","48495","","Create Profile: [FNN-683] Create profile Positive","","Create Profile: [FNN-683] Create profile Positive","should create profile with valid data","should create profile with valid data",""
"passed","Sun Sep 24 04:18:26 UTC 2023","Sun Sep 24 04:18:37 UTC 2023","11183","","Settings: [FNN-672] Change email address Negative","","Settings: [FNN-672] Change email address Negative","should change email address with invalid email format","should change email address with invalid email format",""
"passed","Sun Sep 24 04:41:30 UTC 2023","Sun Sep 24 04:41:34 UTC 2023","3294","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add language without levels","should add language without levels",""
"passed","Sun Sep 24 04:33:43 UTC 2023","Sun Sep 24 04:33:58 UTC 2023","14433","","CR: [FNN-749] Invite to the organization manually Positive","","CR: [FNN-749] Invite to the organization manually Positive","should accept invitation","should accept invitation",""
"passed","Sun Sep 24 04:41:30 UTC 2023","Sun Sep 24 04:41:38 UTC 2023","8074","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without 4 rating","should pass step 3 without 4 rating",""
"passed","Sun Sep 24 04:07:39 UTC 2023","Sun Sep 24 04:07:41 UTC 2023","2535","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without email","should log in without email",""
"passed","Sun Sep 24 04:09:04 UTC 2023","Sun Sep 24 04:09:15 UTC 2023","11765","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with wrong phone number","should subscribe with wrong phone number",""
"passed","Sun Sep 24 04:07:13 UTC 2023","Sun Sep 24 04:07:33 UTC 2023","20035","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in with valid email and invalid password","should log in with valid email and invalid password",""
"passed","Sun Sep 24 04:12:24 UTC 2023","Sun Sep 24 04:14:22 UTC 2023","117936","","Upgrade: [FNN-658] Upgrade account Positive","","Upgrade: [FNN-658] Upgrade account Positive","should upgrade account to Enterprise 1 month","should upgrade account to Enterprise 1 month",""
"passed","Sun Sep 24 04:31:07 UTC 2023","Sun Sep 24 04:31:57 UTC 2023","50512","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Skills","should filter freelancers by Skills",""
"passed","Sun Sep 24 04:22:50 UTC 2023","Sun Sep 24 04:22:54 UTC 2023","4207","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via email without first name","should invite manually via email without first name",""
"passed","Sun Sep 24 04:37:35 UTC 2023","Sun Sep 24 04:38:19 UTC 2023","44061","","[FNN-667] Send contact","","[FNN-667] Send contact","should check the contact as the second user","should check the contact as the second user",""
"passed","Sun Sep 24 04:30:38 UTC 2023","Sun Sep 24 04:31:22 UTC 2023","44182","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without sector","should subscribe as CR without sector",""
"passed","Sun Sep 24 04:39:27 UTC 2023","Sun Sep 24 04:40:10 UTC 2023","42200","","Settings: [FNN-671] Change email address Positive","","Settings: [FNN-671] Change email address Positive","should change email address with valid credentials","should change email address with valid credentials",""
"passed","Sun Sep 24 04:22:54 UTC 2023","Sun Sep 24 04:22:59 UTC 2023","4682","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via email without last name","should invite manually via email without last name",""
"passed","Sun Sep 24 04:14:17 UTC 2023","Sun Sep 24 04:16:00 UTC 2023","102680","","My Profile: [FNN-793] Remove resume","","My Profile: [FNN-793] Remove resume","should remove resume","should remove resume",""
"passed","Sun Sep 24 04:08:21 UTC 2023","Sun Sep 24 04:09:18 UTC 2023","57159","","Reset password: [FNN-656] Reset password Positive","","Reset password: [FNN-656] Reset password Positive","should reset password with valid credentials","should reset password with valid credentials",""
"passed","Sun Sep 24 04:11:34 UTC 2023","Sun Sep 24 04:11:44 UTC 2023","10763","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Certificate","should add Certificate",""
"broken","Sun Sep 24 04:22:50 UTC 2023","Sun Sep 24 04:24:17 UTC 2023","87190","","My Network: [FNN-664] Invite freelancer","","My Network: [FNN-664] Invite freelancer","""before all"" hook for [FNN-664] Invite freelancer","""before all"" hook for [FNN-664] Invite freelancer",""
"passed","Sun Sep 24 04:32:35 UTC 2023","Sun Sep 24 04:32:45 UTC 2023","10280","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with wrong phone number","should subscribe as CR with wrong phone number",""
"passed","Sun Sep 24 04:42:49 UTC 2023","Sun Sep 24 04:42:56 UTC 2023","6875","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Status Open projects","should filter projects by Status Open projects",""
"failed","Sun Sep 24 04:40:44 UTC 2023","Sun Sep 24 04:41:08 UTC 2023","24771","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add education without period to","should add education without period to",""
"failed","Sun Sep 24 04:42:56 UTC 2023","Sun Sep 24 04:43:03 UTC 2023","7230","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Posted since Last 3 days","should filter projects by Posted since Last 3 days",""
