"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 06:08:00 UTC 2024","Tue Apr 16 06:08:03 UTC 2024","3358","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in without password","should log in without password",""
"passed","Tue Apr 16 07:17:06 UTC 2024","Tue Apr 16 07:17:20 UTC 2024","13682","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without City","should create profile without City",""
"failed","Tue Apr 16 07:05:54 UTC 2024","Tue Apr 16 07:06:23 UTC 2024","28903","","Post Project: [FNN-650] Post project without account Positive","","Post Project: [FNN-650] Post project without account Positive","should verify that the project informations is correct","should verify that the project informations is correct",""
"passed","Tue Apr 16 07:16:21 UTC 2024","Tue Apr 16 07:17:06 UTC 2024","45078","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without required fields","should create profile without required fields",""
"skipped","Tue Apr 16 06:06:20 UTC 2024","Tue Apr 16 06:06:20 UTC 2024","0","","Subscribe","","Subscribe","[FNN-2373] Professional receives Welcome letter","[FNN-2373] Professional receives Welcome letter",""
"passed","Tue Apr 16 07:10:23 UTC 2024","Tue Apr 16 07:11:13 UTC 2024","50450","","My Network: [FNN-1233] Invite manually via email without custom message with signup bonus","","My Network: [FNN-1233] Invite manually via email without custom message with signup bonus","should check My Dashboard and My Transactions page for the signup bonus as the inviter user","should check My Dashboard and My Transactions page for the signup bonus as the inviter user",""
"skipped","Tue Apr 16 07:21:29 UTC 2024","Tue Apr 16 07:21:29 UTC 2024","15","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should check the invitation and send an interest of the project","should check the invitation and send an interest of the project",""
"failed","Tue Apr 16 07:17:20 UTC 2024","Tue Apr 16 07:17:44 UTC 2024","24116","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile with wrong website","should create profile with wrong website",""
"passed","Tue Apr 16 07:08:53 UTC 2024","Tue Apr 16 07:09:13 UTC 2024","19638","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without email","should post project without email",""
"passed","Tue Apr 16 06:48:46 UTC 2024","Tue Apr 16 06:50:53 UTC 2024","127594","","[FNN-661] Send interest","","[FNN-661] Send interest","should check if the Freelancer user on the project","should check if the Freelancer user on the project",""
"skipped","Tue Apr 16 07:24:55 UTC 2024","Tue Apr 16 07:24:55 UTC 2024","0","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","should verify that the money paid","should verify that the money paid",""
"failed","Tue Apr 16 07:16:37 UTC 2024","Tue Apr 16 07:21:29 UTC 2024","292271","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should invite to a project via the ""Invite to project"" action","should invite to a project via the ""Invite to project"" action",""
